ticker,short_momentum_%,short_vol_ratio,short_regime,long_momentum_%,long_vol_ratio,long_regime
BWET,86.19,1.2,Bull Expansion,306.53,1.62,Bull Expansion
AGQ,59.16,2.66,Bull Expansion,254.23,1.73,Bull Expansion
SHNY,57.56,2.25,Bull Expansion,252.83,1.27,Bull Expansion
DGP,46.69,2.17,Bull Expansion,176.35,1.19,Bull Expansion
UGL,42.63,2.24,Bull Expansion,165.59,1.26,Bull Expansion
SLV,54.53,2.72,Bull Expansion,149.91,1.66,Bull Expansion
PLTM,38.75,2.04,Bull Expansion,120.23,1.79,Bull Expansion
PPLT,38.36,2.02,Bull Expansion,119.94,1.79,Bull Expansion
PALL,25.5,1.73,Bull Expansion,86.05,1.62,Bull Expansion
BDRY,31.95,1,Bull Expansion,83.91,1.06,Bull Expansion
DBP,27.96,2.48,Bull Expansion,83.64,1.43,Bull Expansion
GLDM,22.59,2.26,Bull Expansion,74.95,1.22,Bull Expansion
IAUM,22.59,2.24,Bull Expansion,74.83,1.21,Bull Expansion
OUNZ,22.61,2.25,Bull Expansion,74.72,1.23,Bull Expansion
FGDL,22.5,2.27,Bull Expansion,74.69,1.2,Bull Expansion
SGOL,22.57,2.25,Bull Expansion,74.69,1.22,Bull Expansion
GLD,22.55,2.26,Bull Expansion,74.48,1.22,Bull Expansion
SLVO,17.08,2.72,Bull Expansion,66.04,1.29,Bull Expansion
HERZ,18.01,0.65,Bull Compression,46.95,1.83,Bull Expansion
BULZ,-1.07,0.95,Bear Compression,45.02,0.82,Bull Compression
GLDI,10.91,1.35,Bull Expansion,38.51,0.87,Bull Compression
IWML,32.78,1.01,Bull Expansion,37.83,0.91,Bull Compression
DZZ,-41.47,0.69,Bear Compression,35.87,0.72,Bull Compression
BXSY,11.77,0.95,Bull Compression,32.77,0.85,Bull Compression
HDLB,26.06,0.9,Bull Compression,32.12,0.76,Bull Compression
DBB,14.72,1.7,Bull Expansion,27.78,0.89,Bull Compression
IWDL,23.87,0.64,Bull Compression,27.72,0.91,Bull Compression
ULE,4.4,0.99,Bull Compression,27.45,0.65,Bull Compression
CTDD,7.41,0.65,Bull Compression,22.45,0.85,Bull Compression
CTBB,10.09,0.48,Bull Compression,22.41,1.14,Bull Expansion
SCCE,3.93,0.6,Bull Compression,22.4,0.49,Bull Compression
SCDL,38.87,0.73,Bull Compression,21.89,0.82,Bull Compression
SCCD,3.68,0.14,Bull Compression,21.85,0.48,Bull Compression
DJP,11.59,1.84,Bull Expansion,20.7,1.28,Bull Expansion
QQQ,4.1,0.77,Bull Compression,20.42,0.66,Bull Compression
USCI,5.01,1.77,Bull Expansion,18.67,1.02,Bull Expansion
QULL,13.41,0.78,Bull Compression,17.58,0.58,Bull Compression
MDY,16.01,0.76,Bull Compression,17.57,0.78,Bull Compression
SPY,5.79,0.65,Bull Compression,17.2,0.58,Bull Compression
MTUL,13.42,1.14,Bull Expansion,17.15,0.91,Bull Compression
FXF,4.22,1.22,Bull Expansion,16.31,0.78,Bull Compression
DIA,9.25,0.81,Bull Compression,15.34,0.66,Bull Compression
FXA,9.81,1.15,Bull Expansion,14.96,0.79,Bull Compression
FXE,2.62,1.08,Bull Expansion,14.62,0.69,Bull Compression
DBC,10.09,1.69,Bull Expansion,13.49,0.83,Bull Compression
ATMP,17.81,0.75,Bull Compression,13.07,0.66,Bull Compression
GSG,9.47,1.51,Bull Expansion,13.07,0.93,Bull Compression
CEFD,8.64,0.42,Bull Compression,13.02,0.7,Bull Compression
YCS,-2.27,1.14,Bear Expansion,12.4,1.05,Bull Expansion
FNGS,-8.48,0.79,Bear Compression,12.17,0.7,Bull Compression
UGA,5.65,1.33,Bull Expansion,11.82,0.79,Bull Compression
UDN,3.29,1.14,Bull Expansion,11.81,1.14,Bull Expansion
FNGO,-18.22,0.76,Bear Compression,11.73,0.71,Bull Compression
AMJB,16.11,0.68,Bull Compression,11.34,0.63,Bull Compression
IWFL,-3.8,0.63,Bear Compression,10.79,0.59,Bull Compression
AMUB,14.9,0.64,Bull Compression,10.51,0.6,Bull Compression
MLPB,15.94,0.67,Bull Compression,10.23,0.53,Bull Compression
FXB,4.12,1.24,Bull Expansion,10.07,0.85,Bull Compression
BNO,14.63,1.18,Bull Expansion,9.62,0.73,Bull Compression
BWVTF,0,0,Bear Compression,9.52,0,Bull Compression
UCIB,6.33,1.85,Bull Expansion,8.95,0.78,Bull Compression
SOYB,0.13,0.8,Bull Compression,8.55,0.94,Bull Compression
SVXY,17.27,0.86,Bull Compression,7.52,0.62,Bull Compression
DBE,6.88,1.47,Bull Expansion,7.1,1.08,Bull Expansion
FXC,3.11,1.24,Bull Expansion,6.19,1.04,Bull Expansion
USO,12.53,1.17,Bull Expansion,4.95,0.73,Bull Compression
PFFL,9.52,0.64,Bull Compression,4.38,0.53,Bull Compression
IFED,-1.29,0.84,Bear Compression,4.09,0.56,Bull Compression
SWZ,4.75,0.84,Bull Compression,3.17,0.22,Bull Compression
VXZ,-10.64,0.58,Bear Compression,2.84,0.59,Bull Compression
MVRL,11.63,0.83,Bull Compression,2.69,0.75,Bull Compression
USOI,9.96,0.75,Bull Compression,2.21,0.73,Bull Compression
VIXM,-10.79,0.61,Bear Compression,1.79,0.61,Bull Compression
GRN,-12.82,1.7,Bear Expansion,1.56,1.36,Bull Expansion
DBO,12.52,1.17,Bull Expansion,1.5,0.87,Bull Compression
DBA,2.95,0.4,Bull Compression,0.81,0.87,Bull Compression
USML,6.71,0.62,Bull Compression,0.42,0.68,Bull Compression
JJETF,0,0,Bear Compression,0,0,Bear Compression
USL,9.54,1.2,Bull Expansion,-0.88,0.73,Bear Compression
KOLD,-15.67,1.88,Bear Expansion,-2.39,1.64,Bear Expansion
FXY,1.93,1.18,Bull Expansion,-3.04,1.06,Bear Expansion
^VIX,-29.18,0.98,Bear Compression,-4.69,0.56,Bear Compression
UUP,-1.64,1.14,Bear Expansion,-4.92,1.43,Bear Expansion
SMHB,25.78,0.66,Bull Compression,-6.01,0.76,Bear Compression
CORN,-0.91,0.73,Bear Compression,-8.55,0.85,Bear Compression
SVIX,32.38,0.81,Bull Compression,-9.2,0.63,Bear Compression
TAGS,-1.52,1,Bear Compression,-9.79,0.76,Bear Compression
UCO,18.81,1.23,Bull Expansion,-9.86,0.75,Bear Compression
YCL,2.84,1.19,Bull Expansion,-10.55,1.08,Bear Expansion
ETH,-29.91,1.22,Bear Expansion,-10.61,0.91,Bear Compression
TETH,-30.08,1.23,Bear Expansion,-10.77,0.91,Bear Compression
GDLC,-24.99,1.51,Bear Expansion,-10.93,1.01,Bear Expansion
EZET,-30.24,1.22,Bear Expansion,-10.98,0.91,Bear Compression
FETH,-30.25,1.21,Bear Expansion,-11.07,0.91,Bear Compression
ETHA,-30.31,1.22,Bear Expansion,-11.16,0.91,Bear Compression
ETHV,-30.32,1.21,Bear Expansion,-11.16,0.91,Bear Compression
QETH,-30.39,1.22,Bear Expansion,-11.21,0.91,Bear Compression
SCO,-20.71,1.24,Bear Expansion,-12.5,0.72,Bear Compression
ETHE,-30.39,1.22,Bear Expansion,-12.56,0.92,Bear Compression
WEAT,0.17,1.07,Bull Expansion,-13.1,0.63,Bear Compression
BDCZ,-0.6,1.24,Bear Expansion,-13.68,0.82,Bear Compression
OBTC,-17.53,1.63,Bear Expansion,-16.25,1.18,Bear Expansion
FREVS,24.15,0.91,Bull Compression,-18.04,1.11,Bear Expansion
EUO,-3.6,1.05,Bear Expansion,-19.18,0.68,Bear Compression
DEFI,-21.32,1.64,Bear Expansion,-19.28,1.1,Bear Expansion
HODL,-22.17,1.6,Bear Expansion,-20.21,1.09,Bear Expansion
BTC,-22.23,1.59,Bear Expansion,-20.4,1.09,Bear Expansion
BITB,-22.23,1.59,Bear Expansion,-20.42,1.09,Bear Expansion
FBTC,-22.24,1.59,Bear Expansion,-20.42,1.09,Bear Expansion
EZBC,-22.38,1.59,Bear Expansion,-20.45,1.09,Bear Expansion
ARKB,-22.29,1.59,Bear Expansion,-20.49,1.09,Bear Expansion
IBIT,-22.25,1.58,Bear Expansion,-20.52,1.09,Bear Expansion
BTCO,-22.41,1.6,Bear Expansion,-20.56,1.09,Bear Expansion
NCIQ,-24.43,1.6,Bear Expansion,-21.41,1.13,Bear Expansion
GBTC,-22.53,1.59,Bear Expansion,-21.42,1.09,Bear Expansion
CANE,-3.08,1.02,Bear Expansion,-22.65,0.87,Bear Compression
BDCX,-0.93,0.82,Bear Compression,-23.35,0.66,Bear Compression
GSCE,0,0,Bear Compression,-26.38,0,Bear Compression
UNL,-17.69,1.8,Bear Expansion,-28.45,1.58,Bear Expansion
DGZ,-10.99,1.56,Bear Expansion,-33.77,1.31,Bear Expansion
VXX,-29.83,0.84,Bear Compression,-39.55,0.55,Bear Compression
VIXY,-29.78,0.85,Bear Compression,-40.08,0.57,Bear Compression
UNG,-19.8,1.82,Bear Expansion,-43.14,1.64,Bear Expansion
OLOXF,-11.48,0.18,Bear Compression,-47.33,0.88,Bear Compression
FNGD,26.06,0.78,Bull Compression,-51.18,0.69,Bear Compression
FLYD,-28.73,0.94,Bear Compression,-53.5,0.76,Bear Compression
GSOL,-37.64,1.01,Bear Expansion,-57.27,0.7,Bear Compression
WTID,-39.53,0.93,Bear Compression,-59.85,0.63,Bear Compression
OILD,-47.76,0.88,Bear Compression,-61.2,0.57,Bear Compression
UVXY,-43.03,0.84,Bear Compression,-62.8,0.55,Bear Compression
CARD,-29.24,0.9,Bear Compression,-63.85,0.92,Bear Compression
GLL,-37.49,2.22,Bear Expansion,-69.8,1.16,Bear Expansion
JETD,-55.59,0.85,Bear Compression,-72.74,0.75,Bear Compression
BERZ,-15.75,0.97,Bear Compression,-75.95,0.74,Bear Compression
BOIL,-51.39,1.94,Bear Expansion,-78.74,1.68,Bear Expansion
UVIX,-54.71,0.83,Bear Compression,-81.43,0.52,Bear Compression
DULL,-54.22,2.27,Bear Expansion,-86.29,1.16,Bear Expansion
ZSL,-80.33,2.65,Bear Expansion,-93.32,1.29,Bear Expansion
GDXD,-77.42,1.8,Bear Expansion,-98.21,1.22,Bear Expansion
